täydellinen ; совершенный
helmi ; жемчужина
takaisin ; назад
vakava ; серьёзный
tykätä ; нравиться
tavata ; встречать
vahva ; сильный
terävä ; острый
nurkka ; угол
viimeinen ; последний
tupakoida ; курить
löytää ; находить
tuskin ; едва
halkeama ; трещина
muistaa ; помнить
vähemmistö ; меньшинство
oma ; собственный
aikuinen ; взрослый
sanoma ; известие
aalto ; волна
hillo ; варенье
taas ; снова
tai ; или (включающее)
vai ; или (исключающее)
kastua ; мокнуть
väriaine ; краситель
ehkä ; может быть
kampa ; расчёска
pussi ; мешок
tarkka ; точный
siivota ; убирать
pestä ; стирать
juoda ; пить
voida ; мочь
syödä ; есть
käydä ; ходить
viedä ; вести
kokonainen ; целый
kiire ; спешка
ahkera ; трудолюбивый
nuori ; молодой
arkku ; сундук
tajuta ; понимать
korjata ; исправлять
sotkuinen ; неряшливый
yleensä ; обычно
potkaista ; пинать
ilves ; рысь
ahma ; росомаха
lasku ; счёт (в ресторане)
neuloa ; вязать
