siivota ; убирать
pestä ; мыть, стирать
juoda ; пить
voida ; мочь
syödä ; есть
käydä ; ходить
viedä ; вести
tavata ; встречать
muistaa ; помнить
kastua ; мокнуть
neuloa ; вязать
tajuta ; понимать
korjata ; исправлять
potkaista ; пинать
tupakoida ; курить
löytää ; находить
pakata ; упаковывать
maata ; лежать
hypätä ; прыгать
pudota ; падать
niitata ; клепать
hangata ; тереть, натирать
kammata ; причесывать
osata ; мочь, уметь
tykätä ; нравится, любить
kiivetä ; взбираться, лазить
hävitä ; исчезать
vallata ; захватывать
tuoda ; приносить
saada ; получать
saapua ; прибывать
ajatella ; думать
esitellä ; представлять
tunnustella ; ощупывать
kierrellä ; бродить
hymyillä ; улыбаться
hypellä ; подпрыгивать
juosta ; бежать
riidellä ; ссориться
työskennellä ; работать
ratkaista ; решать
kuunnella ; слушать
kokeilla ; пробовать
ommella ; шить
tapella ; драться
suudella ; целовать
surra ; скорбеть
panna ; ставить
opiskella ; учиться
kumartua ; наклоняться
kieltää ; запрещать
sulkea ; закрывать
tutkia ; исследовать
ampua ; стрелять
onkia ; удить рыбу
