clatter ; грохотать
dip ; окунать, макать
grate ; натирать (на тёрке)
intertwine ; переплетать
regale ; потчевать
aspire ; стремиться
refrain ; воздерживаться
waddle ; ходить вразвалочку
squirm ; извиваться 
belch ; изрыгать
hurl ; швырять
chime; звонить в колокол
abolish ; упразднять
glower ; смотреть сердито
lounge ; (сидеть) развалившись
sling ; перебрасывать
adjoin ; прилегать
assess ; оценивать
bulge ; выпячиваться
chuckle ; хихикать
creep ; ползти
crumb ; крошить
deem ; считать (полагать)
extinguish ; гасить
fare ; преуспевать
flutter ; порхать
forsake ; покидать, отвергать
gawk ; пялиться
grunt ; хрюкать, ворчать
impair ; ослаблять 
linger ; задерживаться
molt; линять
ponder; размышлять
quip; язвить
reciprocate ; отплачивать услугой за услугу
recuperate ; выздоравливать
retain ; удерживать
rummage ; рыться
sift ; просеивать
slam ; захлопывать
sprawl ; растянуться
spur ;пришпорить
squint ; щуриться
stifle; подавлять
stutter; заикаться
surge ; рвануться
suspend; подвешивать
tackle ; взяться, заняться
thaw ; таять
tuck ; засунуть
vault ; прыгать с упором
waver; колебаться
writhe ; корчиться
