hoop ; обруч
clang ; лязг
gangplank ; сходня, трап
beige ; бежевый
awe ; благоговение
stoker ; кочегар
makeshift ; импровизированный, самодельный
famine ; (массовый) голод
sedge ; осока
manslaughter ; непредумышленное убийство
intently ; пристально
spectacle ; зрелище
vanity ; тщеславие
buttercup ; лютик
indulgent ; снисходительный
overly ; чрезмерно
undergrowth ; подлесок
surf ; прибой
recoil ; отдача
fetter ; оковы, путы
charred ; обугленный
meticulous ; дотошный
tadpole ; головастик
shenanigans ; махинации, проделки
streamlined ; обтекаемый
appendage ; придаток
morbid ; нездоровый
distress ; бедственное положение
winch ; лебёдка
searing ; обжигающий
reverie ; мечтания
commitment ; обязательство
purgatory; чистилище
onslaught ; натиск
contender ; претендент 
shrub ; кустарник
dumbbell ; гантель
ornate ; богато украшенный
ingenious ; изобретательный
tangible ; осязаемый
acrid ; едкий
spindle ; веретено
muzzle ; морда
torque ; крутящий момент
primordial ; изначальный
smudge ; грязное пятно
ointment ; мазь
sideburns ; бакенбарды
rapport ; взаимопонимание
susceptible; поддающийся
ramshackle ; ветхий
agonizingly ; мучительно
scrutiny ; внимательный осмотр
yarn ; пряжа
smug ; самодовольный
epaulet ; погон
barren ; бесплодный
noncommittal ; уклончивый, неопределённый
feat ; подвиг
crackpot ; псих
menagerie ; зверинец
fuzzy; нечёткий
knuckles ; костяшки пальцев
firsthand ; из первых рук
thigh ; бедро
rack ; стойка
bulwark ; оплот
locket ; медальон
vestige ; остаток
squatty ; приземистый 
desert ; пустыня ; desert.ogg
sprat ; килька 
enamel ; эмаль
stucco; штукатурка
pursuit ; погоня
tally ; счёт (напр. в игре)
speck ; пятнышко
cleft ; раздвоенный 
venue ; место сбора
rudder ; руль направления
wrack ; разрушение, развалины
dessert ; десерт
penultimate ; предпоследний 
strung ;  напряжённый
audacity ; дерзость
blatant ; вопиющий
warily ; осторожно
incredulous ; недоверчивый
padlock ; висячий замок
stolid ; невозмутимый
salvo ; залп
inexorable ; неумолимый
fervent ; пламенный
aptly ; метко (назвать)
tentative ; пробный
precarious ; ненадёжно
seasoned ; бывалый
flask ; фляга
mote ; пылинка
offhand ; навскидку
conscience ; совесть
impunity ; безнаказанность
hefty ; здоровенный
hose ; шланг
trill ; трель
languid ; вялый
filament ; волокно
mound ; насыпь
gash ; глубокий разрез
tendril ; усик
sieve ; сито
insidious ; коварный
tenant ; жилец
holistic ; целостный
enigmatic ; загадочный
contentious ; спорный
cognate ; родственный
seam ; шов
seamless ; бесшовный
premeditated ; преднамеренный
dent ; вмятина
upland ; нагорье
orchard ; фруктовый сад
lateral ; боковой
revolting ; отвратительный
eerie ; жуткий
tremulous ; трепетный
circlet ; кружок
herring ; селёдка
loiter ; околачиваться
faucet ; водопроводный кран
elusive ; ускользающий
preacher ; проповедник
baleen ; китовый ус
medley ; поппури
colloquial ; разговорный
prejudice ; предубеждение
nacelle ; гондола
cupboard ; буфет
bunk ; койка
snout ; рыло
mobster; бандит
menial; чёрная (работа)
attire; одеяние
swift; стремительный
compassion; сострадание
raisins; изюм
untidy; неопрятный
liability; предрасположенность
dirt; земля
mud; грязь
porcelain; фарфор
treacherous; предательский
showcase; витрина
engrave; гравировать
walrus; морж
conspicuous; бросающийся в глаза
helm; штурвал
notch; метка
jug; кувшин
spruce; ель
